Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-01,25025.3,25193.2,24982.5,25065.2,310805003,0,0
2019-02-04,25062.1,25236.7,24977.7,25239.4,247142725,0,0
2019-02-05,25287.9,25427.3,25287.7,25411.5,254884574,0,0
2019-02-06,25371.6,25439.0,25312.1,25388.8,208898882,0,0
2019-02-07,25265.8,25314.3,25000.5,25169.5,248527589,0,0
2019-02-08,25042.4,25106.4,24883.0,25103.9,209794579,0,0
2019-02-11,25142.8,25196.8,25009.1,25053.1,197112470,0,0
2019-02-12,25152.0,25459.0,25152.0,25425.8,234211054,0,0
2019-02-13,25480.9,25625.9,25480.9,25543.3,222204221,0,0
2019-02-14,25460.7,25558.9,25308.1,25439.4,272795805,0,0
2019-02-15,25564.6,25882.3,25564.6,25883.2,272499170,0,0
2019-02-20,25872.3,25986.2,25846.5,25954.4,233904599,0,0
2019-02-21,25922.4,25938.9,25762.2,25849.7,221574022,0,0
2019-02-22,25906.3,26052.9,25906.3,26031.8,235656060,0,0
2019-02-25,26126.2,26241.4,26080.7,26092.0,234034556,0,0
2019-02-26,26051.6,26155.3,25966.0,26058.0,215348569,0,0
2019-02-27,25995.6,26039.7,25877.2,25985.2,217648868,0,0
2019-02-28,25984.3,26029.2,25896.6,25916.0,238056584,0,0
2019-03-01,26019.7,26143.9,25914.4,26026.3,239379333,0,0
2019-03-04,26122.2,26156.0,25611.6,25819.6,247170065,0,0
2019-03-05,25829.1,25877.2,25725.6,25806.6,202818040,0,0
2019-03-06,25818.8,25837.6,25633.7,25673.5,211290705,0,0
2019-03-07,25645.4,25645.4,25352.6,25468.1,232731434,0,0
2019-03-08,25347.4,25466.1,25252.5,25450.1,232856385,0,0
2019-03-11,25208.0,25661.6,25208.0,25650.9,261117595,0,0
2019-03-12,25600.3,25675.4,25522.2,25554.7,265828192,0,0
2019-03-13,25637.2,25776.5,25571.3,25702.9,272911905,0,0
2019-03-14,25692.3,25752.8,25621.3,25709.9,238895236,0,0
2019-03-15,25721.0,25927.9,25649.7,25848.9,357899700,0,0
2019-03-18,25914.1,25914.1,25914.1,25914.1,0,0,0
2019-03-19,25887.4,25887.4,25887.4,25887.4,0,0,0
2019-03-20,25745.7,25745.7,25745.7,25745.7,0,0,0
2019-03-21,25962.5,25962.5,25962.5,25962.5,0,0,0
2019-03-22,25502.3,25502.3,25502.3,25502.3,0,0,0
2019-03-25,25516.8,25516.8,25516.8,25516.8,0,0,0
2019-03-26,25657.7,25657.7,25657.7,25657.7,0,0,0
2019-03-27,25625.6,25625.6,25625.6,25625.6,0,0,0
2019-03-29,25928.7,25928.7,25928.7,25928.7,0,0,0
2019-04-01,26258.4,26258.4,26258.4,26258.4,0,0,0
2019-04-03,26218.1,26218.1,26218.1,26218.1,0,0,0
2019-04-04,26384.6,26384.6,26384.6,26384.6,0,0,0
2019-04-05,26425.0,26425.0,26425.0,26425.0,0,0,0
2019-04-08,26341.0,26341.0,26341.0,26341.0,0,0,0
2019-04-09,26150.6,26150.6,26150.6,26150.6,0,0,0
2019-04-10,26157.2,26157.2,26157.2,26157.2,0,0,0
2019-04-11,26143.1,26143.1,26143.1,26143.1,0,0,0
2019-04-12,26412.3,26412.3,26412.3,26412.3,0,0,0
2019-04-15,26384.8,26384.8,26384.8,26384.8,0,0,0
2019-04-16,26452.7,26452.7,26452.7,26452.7,0,0,0
2019-04-17,26449.5,26449.5,26449.5,26449.5,0,0,0
2019-04-18,26559.5,26559.5,26559.5,26559.5,0,0,0
2019-04-22,26511.1,26511.1,26511.1,26511.1,0,0,0
2019-04-23,26656.4,26656.4,26656.4,26656.4,0,0,0
2019-04-24,26597.0,26597.0,26597.0,26597.0,0,0,0
2019-04-25,26462.1,26462.1,26462.1,26462.1,0,0,0
2019-04-26,26543.3,26543.3,26543.3,26543.3,0,0,0
2019-04-29,26554.4,26554.4,26554.4,26554.4,0,0,0
2019-04-30,26592.9,26592.9,26592.9,26592.9,0,0,0
2019-05-01,26430.1,26430.1,26430.1,26430.1,0,0,0
2019-05-03,26504.9,26504.9,26504.9,26504.9,0,0,0
2019-05-06,26438.5,26438.5,26438.5,26438.5,0,0,0
2019-05-07,25965.1,25965.1,25965.1,25965.1,0,0,0
2019-05-08,25967.3,25967.3,25967.3,25967.3,0,0,0
2019-05-09,25828.4,25828.4,25828.4,25828.4,0,0,0
2019-05-10,25942.4,25942.4,25942.4,25942.4,0,0,0
2019-05-13,25325.0,25325.0,25325.0,25325.0,0,0,0
2019-05-14,25532.0,25532.0,25532.0,25532.0,0,0,0
2019-05-15,25648.0,25648.0,25648.0,25648.0,0,0,0
2019-05-16,25862.7,25862.7,25862.7,25862.7,0,0,0
2019-05-17,25764.0,25764.0,25764.0,25764.0,0,0,0
2019-05-20,25679.9,25679.9,25679.9,25679.9,0,0,0
2019-05-21,25877.3,25877.3,25877.3,25877.3,0,0,0
2019-05-22,25776.6,25776.6,25776.6,25776.6,0,0,0
2019-05-23,25490.5,25490.5,25490.5,25490.5,0,0,0
2019-05-24,25585.7,25585.7,25585.7,25585.7,0,0,0
2019-05-28,25347.8,25347.8,25347.8,25347.8,0,0,0
2019-05-29,25126.4,25126.4,25126.4,25126.4,0,0,0
2019-05-30,25169.9,25169.9,25169.9,25169.9,0,0,0
2019-05-31,24815.0,24815.0,24815.0,24815.0,0,0,0
2019-06-03,24819.8,24819.8,24819.8,24819.8,0,0,0
2019-06-04,25332.2,25332.2,25332.2,25332.2,0,0,0
2019-06-05,25539.6,25539.6,25539.6,25539.6,0,0,0
2019-06-07,25983.9,25983.9,25983.9,25983.9,0,0,0
2020-01-03,28634.9,28634.9,28634.9,28634.9,0,0,0
2020-01-06,28703.4,28703.4,28703.4,28703.4,0,0,0
2020-01-07,28583.7,28583.7,28583.7,28583.7,0,0,0
2020-01-08,28745.1,28745.1,28745.1,28745.1,0,0,0
2020-01-09,28956.9,28956.9,28956.9,28956.9,0,0,0
2020-01-10,28823.8,28823.8,28823.8,28823.8,0,0,0
2020-01-13,28907.1,28907.1,28907.1,28907.1,0,0,0
2020-01-14,28939.7,28939.7,28939.7,28939.7,0,0,0
2020-01-15,29030.2,29030.2,29030.2,29030.2,0,0,0
2020-01-16,29297.6,29297.6,29297.6,29297.6,0,0,0
